Customer ID,Customer Name,Invoice Number,Invoice Date,Due Date,Open Balance,Currency,Status
CUST001,ABC Industries,INV100001,2026-07-01,2026-07-31,1520.50,USD,Open
CUST001,ABC Industries,INV100002,2026-06-15,2026-07-15,2500.00,USD,Overdue
CUST002,Global Retail,INV100003,2026-07-04,2026-08-03,980.25,USD,Open
CUST003,United Foods,INV100004,2026-05-22,2026-06-21,3450.75,USD,Overdue
CUST003,United Foods,INV100005,2026-07-10,2026-08-09,125.50,USD,Open
CUST004,Vision Electronics,INV100006,2026-07-12,2026-08-11,6200.00,USD,Open
CUST005,Blue Ocean Ltd,INV100007,2026-06-01,2026-07-01,-450.00,USD,Credit
CUST006,Prime Logistics,INV100008,2026-04-20,2026-05-20,8750.35,USD,Overdue
CUST007,Sunrise Trading,INV100009,2026-07-15,2026-08-14,300.00,USD,Open
CUST008,Delta Manufacturing,INV100010,2026-03-12,2026-04-11,12450.80,USD,Overdue
